Name,Latitude,Longitude,lfd# Nr#,Stadtteil,Anzahl_beh,ort,Straße,Art,Abfuhrtag,Woche-g-ug,Telefon,Zeitbedarf
Papierkorb 200001360,51.43966064,6.615449684,1381,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001365,51.439507,6.616195925,1382,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001366,51.43930893,6.613863409,1383,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000364,51.44716018,6.614917768,1384,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000379,51.44723872,6.614415357,1385,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001158,51.44578052,6.617560247,1386,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001159,51.44624152,6.617682287,1387,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001161,51.44653179,6.617829977,1388,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001165,51.44636792,6.616791794,1389,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001169,51.44671284,6.614422565,1390,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001170,51.44671284,6.614422565,1391,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001171,51.44671963,6.614422565,1392,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001172,51.44722849,6.614055941,1393,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001187,51.4445203,6.615558984,1394,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001191,51.44539118,6.616937388,1395,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000377,51.43903225,6.621064972,1396,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000378,51.43933626,6.620852826,1397,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001298,51.44162091,6.624335758,1398,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001301,51.44106771,6.623149468,1399,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001305,51.44001243,6.621869216,1400,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001306,51.44064082,6.622539014,1401,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000165,51.45225897,6.61888442,1402,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000172,51.45098166,6.614653151,1403,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000173,51.4510705,6.613906492,1404,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000609,51.45276776,6.615382209,1405,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000127,51.4530478,6.624290915,1406,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000130,51.45287027,6.624072399,1407,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000144,51.45410995,6.624419829,1408,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000145,51.45189009,6.623972487,1409,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000146,51.45251169,6.623478122,1410,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000147,51.45185254,6.624504402,1411,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000163,51.45438999,6.623430345,1412,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000164,51.45280195,6.620504055,1413,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000166,51.45225897,6.622265764,1414,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000167,51.45204037,6.623198083,1415,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000168,51.4523785,6.620800272,1416,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000169,51.45116271,6.620092504,1417,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000170,51.45128902,6.620526686,1418,,1,Moers,,Papierkorb,,,,0.5
